tweet_id,text
1480317261856575488,"Neka mi ne zamjere učesnici svih ranijih Space-ova, ovaj #NisamPrijavila je možda i jedini koji me je do danas stopostotno uvjerio kako ta komunikaciona platforma može biti izuzetno korisna i edukativna."
1480313762095763458,"Najvažniji spejs jeste #NisamPrijavila, ali posle tog spejsa molim vas otvorite ovaj o Đokoviću da malo plačemo od smijeha"
1480313288290451462,Kako sam ja ponosna na ove ljude koji su na spejsu #nisamprijavila! ❤
1480311102420434948,Muškarci u #NisamPrijavila Spejsu koji slušaju ❤️ za ovo sam glasala!
1480307554798514188,Nekima bih zabranila da izađu iz spejsa #NisamPrijavila
1480306838432321541,"Sa spejsa #nisamprijavila ZAPAMTITI ono što je @[user] rekla, a to je da  ""nasilnik može da bude i onaj koji nikad ne povisi ni jedan jedini ton""."
1480306212893863940,#NisamPrijavila momenat me je toliko potresao da sam počela da sanjam neke svoje verzije inspirisane svim tim priznanjima žena.
1480291915681705988,Milan Antonijevic suknuo Olji Beckovic da nikada nije u svojim emisijama spomenula #NisamPrijavila i napokon on nesto pametno da kaze
1480249991239188487,"@[user] Feministkinje koje su se cule u #nisamprijavila,vjerovatno su bile tu i pljeskale ushiceno jer su muslimanke same to trazile #hypocrisy"
1480166740818604038,"Veceras ponovo u 21h spejs vezan za nasilje nad zenama.
#NisamPrijavila
#nisisama"
1479905123375661058,@[user] Jos kad su poceli sa tim #nisamprijavila sam znao da su velika vecina licemeri.
1479890711398993921,"Sto reci o @[user] osim jesam prijavila, ali ka da #nisamprijavila

Valjda je sad svima jesno kako ove porno lutke s mikrofonom iskoristavaju anonimne zene(kojima bi bilo bolje da svoje traume umjesto javno najprije ispricaju psihijatrima), a doma zive svoje false zivote🤯"
1479877119899750400,"Utisak: FUJ u oba slučaja
Dokle god ima onih koji ""sude"" žrtvama, biće i onih koji #NisamPrijavila i #nisamprijavio.
Dokle god neko misli da je bolji i iznad drugih, da može sve što poželi, biće onih koji će mu pokazati da greši."
1479865656485023747,@[user] Upravo sam i sumnjala sve vreme ovo što ste dragi/a Zlikavac ovde uradili - Karleuša je PR za bacanje pod vodu pokreta #nisamprijavila. Ljudi nemaju poverenje u tu ženu i to gnušanje treba preliti preko svih žena koje su krenule da iznose istinu. Sramota je to što radite.
1479861407650922497,"Nasilje je nasilje i nedopustivo je čak i kada ga doživi neko sa kim se ne slažete. Bespotrebno je i degutantno zalaziti u detalje, podrška Jeleni Karleuši koja je svojim primerom možda ohrabrila neke žene da takođe prijave nasilnike. #NisamPrijavila - #PrijavilaSam ✊🏽"
1479851383612489732,@[user] Једини сам ја константан ево ја бих да пружим подршку Душку Тошићу. #NisamPrijavila
1479817960445251586,"Prosto mi je ogavno koliko su ljudi koji su satro podrzavali #nisamprijavila sada u fazonu “trebao je pre” ili “trebao je jace”… Svaka vam cast na dvolicnosti, kada je Karleusa u pitanju tad svi moralni kodeksi padaju u vodu jer to je Karleusa…."
1479808250862256134,"@[user] Ja sam čuo da naše devojke sa juga idu da rudare po Šiptarskim ""event"" mestima pa eto #NisamPrijavila"
1479775823796359171,"Svi javni ličnosti su delili #nisamprijavila , a kad je Jelena prijavila onda svi ćute i ne oglašavaju se. Gde je sad vaša solidarnost i savest? FUJ"
1479766573263040513,"Od “stop nasilju nad ženama”, “nisi sama” do “Karleušu i treba tući”. Probili ste dno drugari! #stopnasilju #NisamPrijavila"
1479762460487958529,"#nisamprijavila prošle nedelje svi bili sledjeni od toga šta sve žene preživljavaju
Karleuša prijavi nasilje, Srbi: Ako, zaslužila je.” 
Hajde malo saberite se. Nasilje je nasilje bez obzira koja žena je u pitanju. Svaki nasilnik mora da dobije odgovarajuću kaznu
#stopnasilju"
