tweet_id,text,trust_expressed,anger_expressed,sadness_expressed,surprise_expressed,fear_expressed,disgust_expressed,joy_expressed,anticipation_expressed,trust_evoked,anger_evoked,sadness_evoked,surprise_evoked,fear_evoked,disgust_evoked,joy_evoked,anticipation_evoked
'1481522225534623744,"Nekada daaavno nosili su bedževe sa natpisom ""Čedo oženi me"".

Ja od danas nosim ovaj: 

#NisamPrijavila https://t.co/tD1r9cTJ8F https://t.co/2zWUHLlDQN",0.022,0.149,0.043,0.002,0.005,0.033,0.017,0.069,0.049,0.014,0.009,0.031,0.011,0.045,0.026,0.002
'1481414310836551681,"Pisala sam o #nisamprijavila 

Trenutno je objavljeno na radnoj verziji platforme. Ne zamerite. Inspiracija ne bira. Već neko vreme planiram da objavljujem svoja pisanija, ali eto tek sada skupljam hrabrosti. :)

https://t.co/UkCRFyxhjW",0.019,0.100,0.079,0.079,0.074,0.020,0.029,0.121,0.043,0.002,0.017,0.079,0.016,0.024,0.027,0.012
'1481407234219429891,"Ladno neki bolesnik uzima slike od nesrećne žene i kači ih na ovom profilu.
Ovaj nalog treba svi da prijave #NisamPrijavila https://t.co/o7BOCSDgGc",0.061,0.113,0.068,0.038,0.057,0.035,0.063,0.085,0.025,0.026,0.047,0.106,0.003,0.009,0.058,0.026
'1481406780102090756,@[user] Ovo je baš za hashtag #NisamPrijavila,0.012,0.115,0.041,0.040,0.064,0.038,0.143,0.069,0.077,0.026,0.047,0.057,0.076,0.005,0.034,0.001
'1481403860791013376,"@[user] Nije izbrisao. Ima u starijim objavama. Treba prijaviti svim evropskim institucijama koje se bore za prava žena i #NisamPrijavila, svim ambasadama. Mi smo prikazani kao fašisti a ova smeća rade to što rade.",0.003,0.126,0.094,0.007,0.027,0.030,0.130,0.069,0.002,0.002,0.047,0.079,0.026,0.004,0.074,0.003
'1481399970985095171,@[user] Obavijestiti sve evropske institucije koje se bave pravima žena i pokret #NisamPrijavila. Ovo glibavo stvorenje ne možeš uvrijediti vjeruj mi.,0.016,0.138,0.104,0.052,0.059,0.013,0.095,0.110,0.062,0.037,0.015,0.042,0.004,0.008,0.031,0.007
'1481396837445783558,"@[user] Nikola, prijavite ovo odmah na #NisamPrijavila i svim evropskim institucijama koje se bore za prava žena. Ništa nećemo uraditi samo tvitovanjem vjeruj mi.",0.002,0.119,0.096,0.025,0.034,0.011,0.110,0.074,0.026,0.004,0.000,0.082,0.028,0.054,0.038,0.040
'1481382525259948032,"@[user] @[user] @[user] @[user] Nije ni seljančura. Ljudi su van tog samodejo svijeta, ne prate, ne zanima ih, znaju da ima samodejo koji je sns bot i koji se sprda na račun #nisamprijavila pokreta. Kriv si jer si ih ohrabrio da prave te dodatne samodejo naloge, sjećam se govorio si im da prave.",0.046,0.104,0.044,0.056,0.048,0.030,0.105,0.042,0.029,0.001,0.010,0.050,0.076,0.010,0.015,0.024
'1481355702778359808,"Присуствоваћу предстојећем Простору корисника @[user]. Желиш ли и ти да се придружиш?
#NisamPrijavila

https://t.co/1QOAZpw8OC",0.031,0.088,0.031,0.018,0.115,0.007,0.136,0.072,0.042,0.037,0.020,0.033,0.003,0.053,0.011,0.013
'1481306488241074182,"Јесу ли сви све пријавили? 
Нешто замрло. 
#NisamPrijavila",0.023,0.140,0.071,0.018,0.112,0.034,0.041,0.045,0.002,0.006,0.015,0.029,0.024,0.007,0.083,0.009
'1481306363540250629,"@[user] #nisamPrijavila postoji uslov, vakcinisani evropejac, feministkinja ili pljuvač po svemu sto nisu zapadne vrednosti😊",0.003,0.027,0.083,0.017,0.024,0.005,0.068,0.029,0.090,0.005,0.004,0.049,0.011,0.028,0.020,0.026
'1481305313408131080,"#NisamPrijavila ćutu i pušu !

 :plus uživaju u ovoj mržnji i linču https://t.co/IWyI7zvMWs",0.068,0.052,0.018,0.014,0.076,0.017,0.080,0.005,0.011,0.008,0.025,0.008,0.019,0.039,0.058,0.072
'1481286171950993418,"Devojka nikoga nije uvredila, nijednom.
Stoički podnosi uvrede, pretnje i govore mržnje.
#nisamprijavila https://t.co/L4YULJEP6R",0.012,0.129,0.001,0.025,0.102,0.001,0.043,0.082,0.016,0.052,0.003,0.039,0.026,0.062,0.053,0.011
'1481281184982343686,"@[user] i ja radimo istraživanje o tzv. osvetničkoj pornografiji. Nadamo se da nemate ovakvih iskustava - ali u slučaju da želite nešto podijeliti s nama (ili znate nekoga tko bi želio), evo linka: https://t.co/v32bjnGsg9
(na ""našem"", za priče iz regije) #nisamprijavila",0.006,0.152,0.029,0.042,0.097,0.043,0.063,0.081,0.013,0.027,0.031,0.018,0.022,0.022,0.087,0.012
'1481255919921025026,Mizgonija na twitteru #NisamPrijavila gde ste sad https://t.co/rvNaVmTRRa,0.015,0.114,0.004,0.034,0.074,0.056,0.010,0.069,0.068,0.000,0.022,0.046,0.034,0.018,0.033,0.042
'1481247781088022534,"Žene iz zemalja bivše Jugoslavije danima objavljuju pod hashtagom #nisamprijavila. njihova traumatska iskustva na temu muškog nasilja nad ženama. Puna solidarnost s pokretom #nisamprijavila! @[user] 

https://t.co/S9Zy7QWVie https://t.co/UU1u5OjxwG",0.002,0.136,0.029,0.048,0.027,0.025,0.099,0.145,0.059,0.040,0.016,0.056,0.017,0.057,0.069,0.002
'1481245402502516736,@[user] Posle kad ti se opusti ruka bude #nisamprijavila,0.029,0.120,0.070,0.058,0.101,0.024,0.097,0.080,0.087,0.043,0.049,0.057,0.001,0.003,0.005,0.022
'1481244340060053505,Volle Solidarität mit allen Betroffenen von patriarchaler Gewalt &amp; der #nisamprijavila (ich habe es nicht angezeigt) Bewegung! Potpuna solidarnost sa svim ženskim osobama koje su pogođene patrijarhalnim nasiljem! ❤️ @[user] @[user] @[user] https://t.co/Srgab1uH5b,0.054,0.132,0.005,0.032,0.073,0.010,0.026,0.007,0.013,0.031,0.039,0.030,0.024,0.033,0.039,0.053
'1481241685946470403,"Unter dem Hashtag #nisamprijavila (""Ich habe es nicht angezeigt"") veröffentlichen seit Tagen Frauen aus ehemaligen jugoslawischen Staaten
ihre traumatischen Erfahrungen zum Thema Männergewalt gegen Frauen. Volle Solidarität m d #nisamprijavila Bewegung!

https://t.co/S9Zy7QWVie https://t.co/MsG41vUGck",0.012,0.111,0.037,0.012,0.018,0.018,0.115,0.066,0.030,0.038,0.007,0.035,0.004,0.014,0.047,0.034
'1481196419566477312,@[user] @[user] @[user] @[user] Osim toga na tom profilu je retvitovao sebe! Toliko jadno.. Sada je @[user] obrisala sve što nema veze sa #NisamPrijavila,0.037,0.126,0.015,0.040,0.071,0.007,0.048,0.039,0.020,0.016,0.033,0.048,0.019,0.024,0.045,0.022
'1481188441736060931,"dovoljan je hešteg. trust no one.
#nisamprijavila #nisamprijavio",0.039,0.089,0.007,0.008,0.115,0.008,0.090,0.060,0.074,0.049,0.051,0.014,0.013,0.037,0.052,0.046
'1481025156365664264,#NisamPrijavila uputstvo za roditelje https://t.co/D5zORsaQEW,0.098,0.130,0.023,0.016,0.094,0.015,0.039,0.056,0.057,0.023,0.053,0.049,0.002,0.024,0.078,0.053
'1480963901718077442,"@[user] @[user] @[user] @[user] @[user] Da li si na naslovnu stavila hastag #nisamprijavila ? Jesi. Da li su na nalogu samo tvitovi koji su pisani pod tim hastagom? Jesu. Da li nalog glasi - podrska zenama koje su prezivele nasilje? Da. Ko vodi nalog, koja je svrha, kome ce se žene obracati ako pišu poruke? To ne znamo https://t.co/42VoT4ebAm",0.019,0.111,0.017,0.061,0.012,0.002,0.077,0.020,0.021,0.001,0.014,0.057,0.060,0.047,0.053,0.032
'1480951480291053569,"@[user] @[user] @[user] @[user] Neko koga ti ne poznaješ ti da pass svog naloga da ga ti preuzmeš? Vidi, nov nalog može da se napravi, da se ugasi njegov itd. Sad znači da si ti zvanično preuzela sve one #nisamprijavila priče koje će postati tvoj tw nalog?Lično ne želim da moj iskaz bude deo tog naloga, kapiraš",0.016,0.156,0.009,0.034,0.062,0.031,0.118,0.022,0.024,0.017,0.054,0.014,0.023,0.064,0.036,0.036
'1480949048144281605,#NisamPrijavila jer on je moj otac i otac moje četvoro djece... https://t.co/NcQxLYsa3z,0.074,0.088,0.021,0.106,0.099,0.020,0.074,0.015,0.069,0.004,0.016,0.031,0.002,0.047,0.063,0.069
'1480948432143536136,"Evo ga.. sad je sasvim nas.
Ceka aministratora/ku, odnosno osobu koja bi ga vodila u najboljem interesu onih koji su pisali i podrzali kampanju #nisamprijavila #nisamprijavio https://t.co/INSGlFZFow",0.044,0.112,0.032,0.035,0.102,0.040,0.067,0.058,0.001,0.030,0.021,0.083,0.043,0.017,0.035,0.004
'1480947359412637699,"Uz to koristio nalog #nisamprijavila za samopromociju, na najgori mogući način, preko žena koje su imale užasna iskustva. https://t.co/FrZ9GZkAg7 https://t.co/RwU2mGeL33",0.058,0.144,0.036,0.005,0.060,0.012,0.062,0.010,0.000,0.033,0.008,0.042,0.041,0.059,0.060,0.017
'1480943247983796224,"Dobar dan, dobro došli. Profil je napravljen u svrhu pre svega podrške. Možemo podeliti iskustva, javno i anonimno. Svaki vid nasilja dolazi u obzir. Psihičko, emotivno, fizičko, seksualno, emotivno, cyber nasilje i tako dalje. Svaki pol dolazi u obzir. Pomozimo ! #NisamPrijavila",0.031,0.116,0.011,0.035,0.070,0.082,0.072,0.076,0.047,0.043,0.039,0.064,0.041,0.066,0.075,0.009
'1480937780792504322,"@[user] @[user] @[user] Da. Samodejo01 je imao i profil samodejA. Kad je nastupila ona eksplozija ispovesti zena ovde pod #nisamprijavila on je ovaj drugi profil sa A preimenovao u @[user].
Tamo je uradio par RT, napisao jedan vrlo cudan iskaz i posle ga koristio za botovanje i napade. Evo vidi. https://t.co/wWQpHaxI6D",0.037,0.116,0.035,0.050,0.085,0.025,0.066,0.099,0.052,0.005,0.041,0.098,0.016,0.054,0.042,0.046
'1480934788987031559,"@[user] @[user] @[user] Zamolio bih za pojašnjenje, nisam upućen a vidim da i drugi ljudi nemaju dovoljno informacija, koliko sam razumeo radi se o zlouptrebi #NisamPrijavila Hvala Sophie",0.006,0.113,0.087,0.072,0.093,0.014,0.098,0.109,0.043,0.046,0.040,0.078,0.056,0.037,0.045,0.034
'1480892179077898243,Inace cu dobiti 1000 ideja kako da ti na nos izadje ovo sto si radio. Za svaku tvoju zluopotrebu i za svaku iskrenu ispovest i svaku suzu koja je prolivena ovde uz #nisamprijavila,0.001,0.124,0.107,0.067,0.072,0.053,0.057,0.090,0.029,0.034,0.067,0.032,0.039,0.022,0.043,0.072
'1480889833212026880,"@[user] pitam se koliko je ovde #NisamPrijavila. 
oni su potpuno bespomocni",0.028,0.104,0.023,0.043,0.091,0.002,0.092,0.112,0.059,0.018,0.055,0.067,0.011,0.009,0.056,0.022
'1480866227119697926,Pozivamo sve sudionice kampanje #NisamPrijavila da napišu svoje iskustvo u bazu na web stranici https://t.co/974d6LMLXJ - ideja je na jednom mjestu sakupiti iskustva kako bi svaka osoba koja to čita i dogodilo joj se uvidjela da nije sama i kako djelovati.,0.004,0.093,0.055,0.058,0.107,0.012,0.050,0.055,0.038,0.046,0.016,0.058,0.010,0.011,0.034,0.038
'1480863142804602886,"@[user] Sram te bilo! Ja koji sam prvi podrzao #nisamprijavila i koji dovodi Igora Jurica u Spejs da pomognemo? Ja koji danima trazim nacin da pomognemo zaboravljenoj deci u domovima o kojima se 6 meseci ne prica a zive u katastrofalnim uslovima i dalje? Ovako ne pomazes nikome,odmazes!",0.033,0.093,0.088,0.057,0.087,0.044,0.131,0.057,0.000,0.007,0.004,0.111,0.031,0.012,0.031,0.049
'1480812940592914433,"@[user] A neke od njih se kući vraćaju na #nisamprijavila režim, pa se ne zna gde im je gore. Možda jedino na toj stanici i imaju neki svoj mir. 🙁",0.031,0.125,0.017,0.033,0.066,0.039,0.082,0.035,0.064,0.028,0.020,0.010,0.069,0.058,0.049,0.049
'1480769992614461441,"I’m going to @[user]’s upcoming Space. Will you join too?
#NisamPrijavila

https://t.co/MGUAFctZOD",0.042,0.076,0.024,0.049,0.055,0.055,0.065,0.006,0.010,0.051,0.096,0.000,0.015,0.035,0.018,0.052
'1480764510285803522,"I’m going to @[user]’s upcoming Space. Will you join too?
#NisamPrijavila

https://t.co/VrYIXJ0seO",0.040,0.062,0.022,0.061,0.058,0.057,0.064,0.004,0.016,0.057,0.094,0.009,0.000,0.043,0.015,0.054
'1480669592070631427,#NisamPrijavila ni kao očevidac. https://t.co/4oRVJ4O0pT,0.054,0.100,0.030,0.016,0.088,0.007,0.083,0.012,0.076,0.036,0.030,0.027,0.022,0.045,0.089,0.013
'1480652836488765444,#NisamPrijavila ne mora da bude partner. Može i nasilni komšija. https://t.co/kyecBogyJK,0.043,0.116,0.009,0.040,0.122,0.030,0.067,0.043,0.081,0.026,0.016,0.034,0.028,0.026,0.047,0.014
'1480603274575323144,"Ove nedelje cemo drzati spejs u subotu u 21h.
Gost ce nam biti glumica Danijela Stajnfeld, koja je prijavila sekusalno nasilje. Takodje ocekujemo i pravnike i psihologe iz Autonomnog ženskog centra.
Pridruzite nam se, ne dozvolimo da se ova tema ugasi.

#NisamPrijavila
#nisisama",0.003,0.107,0.026,0.032,0.109,0.006,0.114,0.111,0.004,0.025,0.006,0.033,0.014,0.016,0.050,0.011
'1480585954503139342,koliko li je tu #NisamPrijavila... deca https://t.co/CD24MRy7DC,0.071,0.108,0.022,0.048,0.089,0.015,0.028,0.094,0.016,0.027,0.000,0.059,0.011,0.007,0.060,0.041
'1480569426927828998,Svaku noc bi trebalo da se organizuje Spejs #NisamPrijavila  kako bi sto vise culo price raznih zena i djevojaka i kako bi svi zajedno zajednickim snagama pokusali da stanemo na kraju toj nepravdi !,0.022,0.109,0.076,0.034,0.131,0.007,0.109,0.091,0.034,0.037,0.037,0.024,0.007,0.000,0.021,0.048
'1480539355995414531,"Ljudi moji, koliko se samo ljudi pokrenulo da ucine nesto, otkad je Nina izasla sa pricom o sestri, otkad je nastao hesteg #NisamPrijavila i otkad imamo one spejsove. I to samo iz dojava koje meni stizu, a ko zna za koliko ne znam. Neka smo samo to pokrenuli, pa veliko je 💪",0.010,0.104,0.037,0.005,0.076,0.040,0.071,0.027,0.035,0.041,0.024,0.094,0.005,0.005,0.007,0.062
'1480517543945289732,"Јуче сте пропустили сјајан Спејс #NisamPrijavila Штета, много бисте научили. 
Биће опет, биће редован.
Прикључите се.",0.019,0.127,0.092,0.038,0.134,0.029,0.059,0.088,0.036,0.010,0.009,0.008,0.010,0.016,0.052,0.024
'1480501185215963136,"""Već sam se susrela s (mogućim) seksualnim nasiljem i prije. Kad sam imala šesnaest, hodala sam niz jednu zagrebačku ulicu usred dana..."" Odlomak iz knjige „Voli me više od svega na svijetu“ izdanje Fraktura, Zagreb. #NisamPrijavila 
https://t.co/eJMzXKdFTJ",0.003,0.116,0.025,0.009,0.069,0.024,0.060,0.063,0.030,0.006,0.009,0.045,0.007,0.033,0.031,0.030
'1480357592719310850,3 ујутру читам #NisamPrijavila и давим се у сузама,0.009,0.082,0.084,0.049,0.069,0.015,0.098,0.046,0.011,0.001,0.035,0.020,0.007,0.045,0.014,0.010
'1480356904547278856,"Koliko umeju da budu teski ovi spejsovi, toliko mi je puno srce kada vidim svu medjusobnu podrsku medju zenama, a i od strane muskaraca. Mnogo sam ponosna na sve vas. ❤️
#NisamPrijavila
#nisisama",0.019,0.111,0.087,0.059,0.113,0.010,0.095,0.074,0.048,0.016,0.016,0.122,0.011,0.036,0.059,0.013
'1480334467785015296,"Spejs sa premijerom, #NisamPrijavila Spejs, livestream đe donose odluku o Novakovoj vizi, oću li ga zaspijevat noćas?",0.038,0.052,0.051,0.045,0.014,0.002,0.025,0.047,0.080,0.027,0.049,0.011,0.017,0.025,0.015,0.089
'1480331475685888006,"@[user] Poštovani g. Jakič,
Sve pohvale za vas što ste kao evropski političar i diplomata odvojili svoje vrijeme da ispratite ""Space"" na TW #NisamPrijavila !
Te žene, djevojke žrtve nasilja zaslužuju svu moguću podršku!",0.026,0.072,0.090,0.036,0.073,0.018,0.079,0.025,0.053,0.008,0.008,0.015,0.010,0.040,0.059,0.058
'1480330542545612801,"@[user] @[user] Potem te bo sigurno zanimalo tudi to...

https://t.co/Oz42IoEXD3

Danijela Štajnfeld pobudnica #nisamprijavila vs. Branislav Lečić",0.007,0.092,0.047,0.088,0.028,0.014,0.025,0.123,0.056,0.003,0.037,0.030,0.004,0.023,0.059,0.019
'1480329258929209346,"Jebo vas Krivokapić! U ovom spejsu Crnogorke pričaju o nasilju i osuđivanju njih u manjim sredinama, umesto nasilnika i o zakonu po kome nasilje gledaju kao prekršaj, po kome nasilnik plati kaznu od 150€. 

#NisamPrijavila

https://t.co/JakHPHRJfn",0.005,0.109,0.011,0.042,0.079,0.003,0.037,0.081,0.037,0.032,0.006,0.008,0.013,0.003,0.082,0.046
'1480327800875892737,"Večer sem posvetil poslušanju diskusij na TW “Space”. Od heca skupine iz Beograda, preko (več kot 2,5urnega) odgovarjanja PV ČG, g. @[user] na aktualna vprašanja… Ampak najbolj pa se me je emocionalno dotaknila diskusija o “Nasilje nad ženama - #NisamPrijavila” Respect! https://t.co/31YaoPUZMO",0.009,0.093,0.023,0.049,0.108,0.021,0.063,0.048,0.076,0.009,0.018,0.048,0.034,0.022,0.112,0.055
'1480326889394819077,"Ljudi, kampanja #NisamPrijavila zaslužuje svu podršku, kako države, tako i čitavog društva!

Samo se zapitajte, da ta žrtva porodičnog nasilja sjutra bude vaša sestra, kćerka...kako bi ste se tada ponašali, ili spadate u onu grupu kada nije vaša, ne zanima vas❗

Osvijestite se❗",0.000,0.120,0.008,0.000,0.086,0.010,0.079,0.032,0.011,0.042,0.008,0.035,0.035,0.032,0.052,0.052
'1480321581004079109,"Što se tiče ovoga sada što je rekla @[user] da se sve žene pridruže kampanji #NisamPrijavila, računajte i na nas muškarce, treba da smo zajedno u ovome 👊",0.007,0.090,0.050,0.016,0.068,0.052,0.101,0.059,0.061,0.020,0.060,0.084,0.032,0.012,0.030,0.015
'1480321463391596549,"Apsolutna podrška kampanji #NisamPrijavila, žrtve nasilja nad ženama ne zaslužuju pakao kroz koji prolaze! 

Djevojke, žene, majke vi ste naše heroine! Uz vas smo! 🌹",0.061,0.066,0.036,0.014,0.076,0.050,0.092,0.036,0.006,0.025,0.044,0.027,0.050,0.017,0.069,0.069
'1480317261856575488,"Neka mi ne zamjere učesnici svih ranijih Space-ova, ovaj #NisamPrijavila je možda i jedini koji me je do danas stopostotno uvjerio kako ta komunikaciona platforma može biti izuzetno korisna i edukativna.",0.008,0.070,0.034,0.062,0.097,0.044,0.116,0.057,0.008,0.005,0.001,0.044,0.030,0.033,0.045,0.021
'1480313762095763458,"Najvažniji spejs jeste #NisamPrijavila, ali posle tog spejsa molim vas otvorite ovaj o Đokoviću da malo plačemo od smijeha",0.025,0.133,0.032,0.031,0.109,0.045,0.099,0.028,0.070,0.079,0.065,0.037,0.030,0.014,0.018,0.015
'1480313288290451462,Kako sam ja ponosna na ove ljude koji su na spejsu #nisamprijavila! ❤,0.054,0.047,0.017,0.038,0.044,0.020,0.076,0.016,0.025,0.028,0.043,0.090,0.024,0.034,0.028,0.006
'1480311102420434948,Muškarci u #NisamPrijavila Spejsu koji slušaju ❤️ za ovo sam glasala!,0.047,0.098,0.026,0.003,0.097,0.067,0.057,0.001,0.049,0.016,0.055,0.066,0.065,0.028,0.011,0.062
'1480310729576169476,"Spejs na temu #NisamPrijavila ima duplo manje slušaoca od spejsa o sudjenju teniseru koji ne može da udje u drugu zemlju da igra turnir. Koju posluku porati? 

https://t.co/uh2pfx6LjE",0.024,0.077,0.034,0.082,0.105,0.013,0.049,0.144,0.014,0.010,0.015,0.088,0.008,0.046,0.017,0.015
'1480307554798514188,Nekima bih zabranila da izađu iz spejsa #NisamPrijavila,0.038,0.139,0.037,0.040,0.127,0.043,0.112,0.074,0.035,0.021,0.005,0.037,0.034,0.044,0.071,0.003
'1480306838432321541,"Sa spejsa #nisamprijavila ZAPAMTITI ono što je @[user] rekla, a to je da  ""nasilnik može da bude i onaj koji nikad ne povisi ni jedan jedini ton"".",0.072,0.093,0.005,0.039,0.100,0.020,0.126,0.044,0.088,0.005,0.013,0.100,0.053,0.037,0.043,0.014
'1480306212893863940,#NisamPrijavila momenat me je toliko potresao da sam počela da sanjam neke svoje verzije inspirisane svim tim priznanjima žena.,0.021,0.117,0.030,0.001,0.072,0.002,0.098,0.114,0.092,0.017,0.000,0.031,0.020,0.001,0.021,0.027
'1480302130686828547,"Spejs koji treba da slušate

#NisamPrijavila
https://t.co/ScXZ1sCmKM",0.046,0.075,0.056,0.040,0.116,0.004,0.063,0.074,0.027,0.021,0.041,0.073,0.012,0.010,0.043,0.044
'1480291915681705988,Milan Antonijevic suknuo Olji Beckovic da nikada nije u svojim emisijama spomenula #NisamPrijavila i napokon on nesto pametno da kaze,0.002,0.119,0.054,0.001,0.080,0.001,0.061,0.067,0.069,0.028,0.001,0.060,0.026,0.045,0.008,0.006
'1480271851796545537,"Nemojte da dozvolite da bude ""svako cudo za tri dana"", od vas zavisi, pruzite podrsku makar tako sto cete (sa)slusati ⬇️⬇️⬇️ #nisamprijavila https://t.co/V93WG6hPYV",0.070,0.070,0.086,0.025,0.053,0.011,0.075,0.063,0.035,0.002,0.001,0.043,0.029,0.048,0.037,0.059
'1480270197244276744,"Welcome
W/ @[user] #NisamPrijavila

https://t.co/Fm2Lm391YO",0.036,0.087,0.011,0.054,0.054,0.036,0.071,0.005,0.006,0.021,0.003,0.027,0.029,0.035,0.053,0.029
'1480249991239188487,"@[user] Feministkinje koje su se cule u #nisamprijavila,vjerovatno su bile tu i pljeskale ushiceno jer su muslimanke same to trazile #hypocrisy",0.010,0.100,0.108,0.026,0.037,0.021,0.070,0.016,0.037,0.041,0.003,0.048,0.021,0.062,0.020,0.045
'1480228943831707649,"Pavle Grbović za Blic o kandidatu za gradonačelnika i da li je to on, o izborima, referendumu, o #NisamPrijavila i drugim aktuelnim temama ✊🏽

Pročitajte na linku:
https://t.co/9pNzmgFNnB https://t.co/ELNkC8qGf0",0.008,0.044,0.108,0.083,0.061,0.004,0.085,0.121,0.016,0.053,0.016,0.108,0.079,0.007,0.008,0.012
'1480186711330246658,"Pavle Grbović za Blic o kandidatu za gradinačelnika i da li je to on, o izborima, referendumu, o #NisamPrijavila i drugim aktuelnim temama ✊🏽

@[user] 

Pročitajte na linku:

https://t.co/TIPrYmRNIV https://t.co/p6rPUWgtIg",0.013,0.050,0.108,0.079,0.064,0.003,0.095,0.118,0.014,0.028,0.005,0.104,0.074,0.006,0.006,0.009
'1480166740818604038,"Veceras ponovo u 21h spejs vezan za nasilje nad zenama.
#NisamPrijavila
#nisisama",0.039,0.143,0.039,0.000,0.081,0.005,0.072,0.021,0.060,0.006,0.049,0.045,0.038,0.047,0.069,0.055
'1480147808040759301,"Moja podrška ženama u borbi da se zaustavi nadsikje nad njima. #nisamprijavila
Šta si do sada čekala? Zašto NISI PRIJAVILA? https://t.co/UQFtTWxKFf via @[user]",0.019,0.173,0.077,0.016,0.104,0.013,0.026,0.025,0.054,0.012,0.009,0.083,0.047,0.029,0.009,0.007
'1480110547148365829,"Volle Zustimmung, dass Frauensolidarität die stärkste Waffe im Kampf gegen das Patriarchat ist. Leider blieb dies von der Sprecherin d. @[user] zur Bewegung #NisamPrijavila bis jetzt aus, obwohl knapp ¼ Mio. der Wr. Bev. aus den Ländern dieser Bewegung kommt. https://t.co/kJMN4ZEM9R",0.004,0.022,0.053,0.028,0.016,0.067,0.056,0.050,0.066,0.034,0.026,0.049,0.034,0.084,0.062,0.000
'1479905123375661058,@[user] Jos kad su poceli sa tim #nisamprijavila sam znao da su velika vecina licemeri.,0.058,0.079,0.099,0.059,0.067,0.002,0.058,0.044,0.060,0.019,0.036,0.037,0.034,0.011,0.048,0.014
'1479890711398993921,"Sto reci o @[user] osim jesam prijavila, ali ka da #nisamprijavila

Valjda je sad svima jesno kako ove porno lutke s mikrofonom iskoristavaju anonimne zene(kojima bi bilo bolje da svoje traume umjesto javno najprije ispricaju psihijatrima), a doma zive svoje false zivote🤯",0.014,0.082,0.033,0.034,0.082,0.034,0.088,0.037,0.038,0.012,0.037,0.073,0.027,0.030,0.044,0.004
'1479877119899750400,"Utisak: FUJ u oba slučaja
Dokle god ima onih koji ""sude"" žrtvama, biće i onih koji #NisamPrijavila i #nisamprijavio.
Dokle god neko misli da je bolji i iznad drugih, da može sve što poželi, biće onih koji će mu pokazati da greši.",0.029,0.131,0.024,0.072,0.127,0.061,0.121,0.087,0.094,0.034,0.081,0.042,0.055,0.049,0.024,0.038
'1479875148450832388,"Moj podrška zaštiti dostojanstva i fizičkog integriteta žena #nisamprijavila

Mislim da je jako bitno da muškarac od 130 kg snimi ovakav video

https://t.co/UQFtTWxKFf",0.023,0.099,0.083,0.062,0.068,0.027,0.095,0.095,0.015,0.008,0.010,0.040,0.042,0.075,0.104,0.064
'1479865656485023747,@[user] Upravo sam i sumnjala sve vreme ovo što ste dragi/a Zlikavac ovde uradili - Karleuša je PR za bacanje pod vodu pokreta #nisamprijavila. Ljudi nemaju poverenje u tu ženu i to gnušanje treba preliti preko svih žena koje su krenule da iznose istinu. Sramota je to što radite.,0.073,0.117,0.093,0.023,0.101,0.022,0.072,0.077,0.012,0.005,0.010,0.094,0.017,0.014,0.083,0.027
'1479861407650922497,"Nasilje je nasilje i nedopustivo je čak i kada ga doživi neko sa kim se ne slažete. Bespotrebno je i degutantno zalaziti u detalje, podrška Jeleni Karleuši koja je svojim primerom možda ohrabrila neke žene da takođe prijave nasilnike. #NisamPrijavila - #PrijavilaSam ✊🏽",0.020,0.113,0.012,0.016,0.051,0.073,0.112,0.036,0.031,0.013,0.065,0.058,0.012,0.034,0.102,0.034
'1479859273211559945,Šta si do sada čekala? Zašto NISI PRIJAVILA? https://t.co/UQFtTWxKFf Moja podrška ženama žrtvama nasilja #nisamprijavila,0.009,0.150,0.091,0.013,0.125,0.024,0.030,0.015,0.059,0.015,0.049,0.081,0.057,0.008,0.003,0.032
'1479851383612489732,@[user] Једини сам ја константан ево ја бих да пружим подршку Душку Тошићу. #NisamPrijavila,0.009,0.163,0.038,0.033,0.118,0.049,0.085,0.049,0.050,0.007,0.013,0.010,0.031,0.019,0.049,0.030
'1479839678333390853,"""Mislim da bi svako na njegovom mestu bio ekstremno, ekstremno ponosan, jer nema svako ženu koja napravi ono što sam ja napravila."" 1.1.2022. #NisamPrijavila

Isto ona: https://t.co/Ny2V2MyJh3",0.072,0.138,0.036,0.024,0.072,0.004,0.055,0.065,0.003,0.012,0.022,0.031,0.062,0.027,0.051,0.007
'1479818717185904641,"Ponovicu, vecini nas je Karleusa antipaticna ali to ne sme da utice na drustveni stav oko nasilja. Prestanite da opravdavate nasilje, mucno je gledati lajkove na to. #NisamPrijavila https://t.co/iF7bGpPoQ9",0.017,0.093,0.045,0.015,0.067,0.031,0.001,0.105,0.027,0.015,0.006,0.003,0.013,0.011,0.125,0.008
'1479817960445251586,"Prosto mi je ogavno koliko su ljudi koji su satro podrzavali #nisamprijavila sada u fazonu “trebao je pre” ili “trebao je jace”… Svaka vam cast na dvolicnosti, kada je Karleusa u pitanju tad svi moralni kodeksi padaju u vodu jer to je Karleusa….",0.070,0.090,0.083,0.128,0.153,0.017,0.039,0.075,0.029,0.032,0.004,0.050,0.083,0.033,0.025,0.045
'1479808250862256134,"@[user] Ja sam čuo da naše devojke sa juga idu da rudare po Šiptarskim ""event"" mestima pa eto #NisamPrijavila",0.005,0.036,0.022,0.059,0.031,0.003,0.139,0.046,0.060,0.014,0.018,0.001,0.041,0.033,0.035,0.010
