tweet_id,text,trust_expressed,anger_expressed,sadness_expressed,surprise_expressed,fear_expressed,disgust_expressed,joy_expressed,anticipation_expressed,trust_evoked,anger_evoked,sadness_evoked,surprise_evoked,fear_evoked,disgust_evoked,joy_evoked,anticipation_evoked
'1475174904408510480,"#nisamprijavila
Zalažem se za zakon kao u Rusiju, ubij govno i ništa ne odgovaraš.",0.046,0.124,0.057,0.008,0.063,0.095,0.087,0.030,0.002,0.004,0.046,0.081,0.070,0.010,0.011,0.027
'1475174901656993809,"nekako svi podrazumevaju da, kada pričamo o nasilju nad ženama i nasilju uopšte, mislimo na fizičko nasilje
#nisamprijavila",0.015,0.111,0.050,0.042,0.084,0.007,0.104,0.066,0.025,0.018,0.004,0.083,0.020,0.042,0.048,0.031
'1475174889904648192,"#NisamPrijavila jer eno ga u basti, djubri mi paradajz",0.055,0.085,0.027,0.052,0.138,0.005,0.112,0.019,0.048,0.018,0.036,0.048,0.024,0.016,0.010,0.032
'1475174876126367745,"Nisam ušao u #NisamPrijavila niti u #NisamPrijavio nego samo čitam tvitove koje su pisali, i ono što ritvituju, ljudi koje pratim. Toliko sam pogođen kroz šta ste sve prošli kao i u kojim periodima života da sabirem misli i želje koje bih vam uputio u vidu podrške već par sati.",0.034,0.069,0.002,0.114,0.086,0.024,0.029,0.050,0.013,0.016,0.010,0.057,0.025,0.003,0.048,0.069
'1475174800188444678,"Evo ja sam vas provalio zašto niste prijavile 
#nisamprijavila

https://t.co/Zsi6ntRf8P",0.089,0.129,0.063,0.018,0.079,0.015,0.055,0.072,0.046,0.037,0.033,0.084,0.065,0.039,0.049,0.058
'1475174711869026309,"Mozda bas vasa kcerka bude slusala vase svakodnevne ""bezazlene"" komentare, i od straha da cete je osuditi vam nikad ne kaze da je zlostavljana, maltretirana, silovana? 
Uz #NisamPrijavila imate dovoljno materijala za razmisljanje. Budite zahvalni na hrabrosti ovih zena.",0.005,0.159,0.016,0.003,0.136,0.043,0.115,0.027,0.032,0.022,0.051,0.058,0.008,0.054,0.117,0.067
'1475174625520852994,"Žene koje nemate šta da prijavite, ipak podržite #nisamprijavila jer ako nisi ti doživela otkud znaš da nije tvoja mama, baba, sestra, kuma, ćerka. Otkud znaš da neće? 
A ove koje lajkaju morone, nećete se udati jadne ako ih podržavate. Naučite se na bolje.",0.032,0.088,0.041,0.053,0.088,0.014,0.074,0.041,0.004,0.016,0.007,0.027,0.053,0.044,0.002,0.007
'1475174419979018246,"Ja nikad neću skupiti hrabrost da detaljno napišem #NisamPrijavila tvit, a svima vama koji jeste, svaka čast.",0.046,0.060,0.061,0.096,0.046,0.050,0.041,0.092,0.003,0.008,0.023,0.023,0.017,0.034,0.043,0.113
'1475174411867246594,Moj #NisamPrijavila status https://t.co/6Pz86UQ3MX,0.054,0.086,0.029,0.037,0.057,0.040,0.057,0.007,0.004,0.042,0.019,0.040,0.016,0.041,0.057,0.030
'1475174304975306769,"Dakle da vidimo šta smo danas naučili?

Nikada i nikada ne terati ženu da prijavi nasilje, već je tapšati po ramenu i govoriti joj da je JAKA ŽENA.
 
#NisamPrijavila",0.038,0.083,0.037,0.054,0.083,0.004,0.096,0.004,0.014,0.017,0.019,0.104,0.009,0.040,0.039,0.048
'1475174242971000835,#NisamPrijavila jer sam imala 19 i on je bio obiteljski prijatelj i bojala sam se da mi nece tata na robiju jer bi ga sigurno propucao,0.046,0.099,0.004,0.043,0.043,0.004,0.096,0.086,0.030,0.013,0.019,0.055,0.009,0.031,0.008,0.016
'1475174223484182528,Vas i tema kao sto je #nisamprijavila posvadja?! Da li ste normalni?!,0.004,0.118,0.018,0.043,0.132,0.027,0.064,0.012,0.009,0.003,0.014,0.044,0.019,0.012,0.056,0.050
